tag,created_at,git_sha,matrix,n_features,feature_hash,target,model,horizon_m,train_rows,train_positives,base_rate,roc_auc,pr_auc,precision_at_100,precision_at_500,precision_at_1000
baseline,2026-07-27T09:34:35.977767+00:00,,data/processed/model_matrix,41,9f2989029dcd,lending,lightgbm,3,214708,19624,0.0027111421804875135,0.8766658286449451,0.0567161855358872,0.550000011920929,0.28200000524520874,0.22200000286102295
baseline,2026-07-27T09:34:35.977767+00:00,,data/processed/model_matrix,41,9f2989029dcd,lending,logistic,3,214708,19624,0.0027111421804875135,0.8615083643681878,0.04032434222088189,0.18000000715255737,0.15000000596046448,0.14000000059604645
baseline,2026-07-27T09:34:35.977767+00:00,,data/processed/model_matrix,41,9f2989029dcd,insolvency,lightgbm,6,165674,15022,0.003293984802439809,0.761519999902756,0.016922649690566,0.1899999976158142,0.12200000137090683,0.11299999803304672
baseline,2026-07-27T09:34:35.977767+00:00,,data/processed/model_matrix,41,9f2989029dcd,insolvency,logistic,6,165674,15022,0.003293984802439809,0.7323762884132989,0.011852534198051377,0.029999999329447746,0.057999998331069946,0.05900000035762787
baseline,2026-07-27T09:34:35.977767+00:00,,data/processed/model_matrix,41,9f2989029dcd,voluntary_exit,lightgbm,6,3779912,343699,0.07727589458227158,0.7928926323742399,0.3512033580331128,0.8299999833106995,0.8479999899864197,0.8550000190734863
baseline,2026-07-27T09:34:35.977767+00:00,,data/processed/model_matrix,41,9f2989029dcd,voluntary_exit,logistic,6,3779912,343699,0.07727589458227158,0.7703665915861443,0.3103686395215074,0.05999999865889549,0.29600000381469727,0.4259999990463257
baseline,2026-07-27T09:34:35.977767+00:00,,data/processed/model_matrix,41,9f2989029dcd,growth,lightgbm,12,610789,55564,0.021370641887187958,0.7620188930685061,0.057764567612940916,0.2199999988079071,0.20200000703334808,0.17499999701976776
baseline,2026-07-27T09:34:35.977767+00:00,,data/processed/model_matrix,41,9f2989029dcd,growth,logistic,12,610789,55564,0.021370641887187958,0.7289751080497635,0.046768150726364546,0.07000000029802322,0.09799999743700027,0.12700000405311584
lender,2026-08-06T17:31:54.081833+00:00,c67cc9f,data/processed/model_matrix_lender,54,4ba0c29df138,lending,lightgbm,3,214708,19624,0.0027111421804875135,0.8950961953909886,0.2073873048427333,1.0,0.9919999837875366,0.8870000243186951
lender,2026-08-06T17:31:54.081833+00:00,c67cc9f,data/processed/model_matrix_lender,54,4ba0c29df138,lending,logistic,3,214708,19624,0.0027111421804875135,0.881248325883637,0.06906859455686146,0.1899999976158142,0.1940000057220459,0.21899999678134918
